id,job_title,job_salary,job_requirement,job_addr,job_exp,job_edu,job_tags,company_name,company_employee_num,company_type
192,python后台开发工程师,12K-22K,"岗位职责:1、负责小农女后台系统的设计和开发工作。2、熟悉电子商务系统设计与开发者优先。任职要求：1、有坚实的计算机软硬件基础，熟练linux系统。2、两年以上Python Web开发经验、至少熟悉一种Python Web框架","深圳 南山区 科技园",1-3年,本科,Python,小农女,100-499人,移动互联网
193,python工程师,15K-30K,"工作职责1、网站系统的维护、改进，以及新产品的开发；2、大型互联网web项目的设计、开发、优化。职位要求1、熟悉python, 熟悉mysql，有足够的互联网项目开发意识；2、熟悉linux, 熟悉git版本管理;","深圳 南山区 前海",3-5年,本科,Python,爱邮520post,20-99人,互联网
194,Python,10K-13K,"1. 负责产品需求分析，对产品的原始需求做总结分析        2. 负责后端产品的架构设计、优化；        3. 负责产品的业务逻辑接口开发；        4. 参与方案讨论和技术调研。        职位要求：  ","深圳 南山区 大冲",3-5年,本科,后端开发Pythondjango,磁易购,0-20人,电子商务
195,Python开发,9K-14K,"1 linux开发经验2年以上，python开发经验2年以上，实际接触云计算项目1年以上。  2 熟悉linux操作系统，熟悉linux命令，熟练编写shell脚本。  3 熟悉MySQL、SQLServer、Redis，熟悉多","深圳 南山区 科技园",1-3年,大专,PythonLinux,北京中讯汉扬有限公司,100-499人,计算机软件
196,网络安全工程师（python）,11K-20K,"岗位职责：1、 参与公司安全平台、安全公共组件支持与开发；2、 参与公司安全监控平台的研发、各种安全协作平台；3、 参与WAF、自主研发规则漏洞扫描的维护、更新、迭代；4、 参与安全自动化工具或平台的设计与开发。任职要求：工作","深圳 南山区 前海",经验不限,本科,网络安全python,茁壮网络,500-999人,计算机软件
197,Python,15K-30K,"我们的技术栈：python，golang，mysql，redis，mongodb，NSQ，ELK。我们开发流程：基于pull request，互相code review我们每周有各种类型的topic分享我们欣赏代码洁癖，喜欢折腾","深圳 南山区",经验不限,本科,Python数据库Web前端,小闪快送,20-99人,O2O
198,高级Python开发工程师,16K-30K,"岗位职责：1. 负责公司安全相关系统的设计和实现2. 参与代码评审和代码开源改造岗位要求：1. 3年以上Python开发经验2. 精通Python服务端编程，熟悉HTTP协议和规范3. 熟悉Django/Torn","深圳 南山区 科技园",5-10年,不限,Python全栈后端开发,我来贷WeLab,500-999人,互联网
199,"手游 服务器主程序 Python",15K-30K,岗位描述1、负责实现python手游服务器端架构、底层代码编写，工作计划安排；2、游戏服务端功能设计、开发和实现；3、服务器性能优化；职能要求：1.精通mysql和redis数据库，对数据库编程有极丰富的经验；2.三年以上游戏,"深圳 南山区 科技园",3-5年,不限,系统架构python,深圳市宇斯盾科技公司,20-99人,游戏
200,Python,10K-15K,"未来参与的主要工作内容：参与仿真模型建立与优化（机场+转运中心） 需要的技能：以Python算法开发为主，兼具大数据和数据库相关能力。 具体技能需求：A， Python算法方面（1）       主要是Python数据开发和算法","深圳 南山区",1-3年,本科,数据库Python算法实现,深圳长亮科技,10000人以上,计算机软件
201,python开发工程师,8K-11K,"1、本科以上学历，计算机相关专业毕业，能独立完成项目的开发部署；2、具有2年以上python实际线上产品开发经验；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4. 精通python语言，使用过Django","深圳 南山区 科技园",1-3年,本科,PythonTornado,蜂云智能,20-99人,互联网
202,Python,8K-12K,"工作内容：公司网站建设 公众号建设任务要求：在现有公司网站及公众号基础上优化建设特别说明：要求在网站开发有够深基本功，全栈工程师薪资可面议，有ps基础最好，目前项目针对通讯3C行业，有相关行业经验能更快融入工作。","深圳 福田区 上步",1-3年,本科,HTML5PHPWeb前端,清橙科技,0-20人,互联网
203,Python开发工程师,12K-24K,工作职责：1、熟悉公司的技术服务架构，根据产品设计，完成AI项目中工程化和服务化的开发工作2、设计和开发高扩展性、可用性的企业级AI服务3、编写技术文档，完成单元测试和集成测试4、随需求或技术发展，优化、升级、维护在线服务,"深圳 南山区 科技园",经验不限,本科,Python系统架构爬虫工程师,Gowild,0-20人,智能硬件
204,Python开发,8K-13K,1、全日制统招二本学历2、Python开发一年以上工作经验,"深圳 龙岗区 坂田",1-3年,本科,Python,南昌耀骅,0-20人,生活服务
205,PYTHON爬虫工程师,8K-16K,"岗位职责：1.负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作；2.负责分析新的数据需求, 评估数据采集难度，安排采集工作及时交付；3.负责非定向数据的清洗、整理、整合及合并等工作；4.负责数据中心的规划和管理工作。","深圳 福田区 沙头",1-3年,本科,MySQLOracle数据挖掘,蚁穴,20-99人,互联网
206,Python,15K-23K,创建自公元2015年，位于深圳南山区项目涉及o2o，移动支付，以及部分银行系统。如果你不甘心做一个平台的程序开发，你想要有的挑战在我们这里都有。我们公司现已飞速发展，寻找希望充满挑战的你，并且，你所写每一行代码都将为公司带来盈利！,"深圳 南山区 科技园",1-3年,本科,Web前端Python,优融,20-99人,互联网
207,Python开发工程师,7K-14K,"1、熟练使用Python，熟悉webpy, Flask, Tornado等框架， 构建过nginx+uWSGI+python的web-service2、熟悉分布式系统，对网络和并发编程有丰富的经验，熟悉Linux/Unix平台，熟悉Sh","深圳 南山区 科技园",1-3年,本科,LinuxPythonlua,富甲集团,20-99人,互联网
208,Python开发,15K-20K,"工作内容: 1、自动化运维开发。2、负责集团DevOps建设与开发。3、其他Python开发。任职要求:1、大学计算机科学与技术专业,3-5年工作经验。2、熟练使用Python开发，至少有1年实际Python开发","深圳 罗湖区 蔡屋围",3-5年,本科,pythonshellLinux,华润集团信息管理部,10000人以上,计算机软件
209,python开发工程师,9K-15K,1.熟悉python语言2.熟悉django/tornado/Flask等python框架，有大开发项目经验优先3.熟悉mysql数据库开发与优化，对数据库有较强的设计能力4.熟悉nginx的配置优化者优先5.熟悉前端html、js,"深圳 福田区 上步",1-3年,本科,HTML/CSSPython数据库,顾为,0-20人,互联网
210,后台软件开发工程师(Python开发),10K-20K,"岗位职责：1、完善系统CORDDUMP处理、短信告警功能；2、实现分布式会议部署模块； 3、会议部署去掉动态注册registry减少依赖性；岗位要求：1、熟悉Python语音，有实际Python项目开发经验；2、熟悉","深圳 南山区 科技园",3-5年,本科,PythonC/C++,三三得玖,100-499人,互联网
211,"python developer",99k,django|mysql,shenzhen,1-3years,graduate,ML|AI,huawei,"500 person",IT
212,python,12K-24K,"1. 计算机相关专业；2. 有一年以上开发经验；3. 掌握shell、python脚本语言，熟悉Django开发框架，有使用python开发过真实项目；如开发过运维平台项目更佳；4. 掌握Javascript、CSS、html前","深圳 南山区 南油",1-3年,大专,django大并发python,环球易购,1000-9999人,电子商务
213,Python爬虫工程师,10K-20K,任职要求：1、3年以上相关工作经验；2、扎实的Python基础，熟悉Web、APP爬虫，掌握爬虫与反爬虫技术；3、熟悉常见爬虫框架，如scrapy、jsoup、selenium等，有实际项目经验；4、有Amazon、eBay,"深圳 宝安区 西乡",3-5年,大专,Pythonpython爬虫java爬虫,宇图科技,0-20人,互联网
214,Python工程师,8K-16K,"岗位职责：1、3年以上经验，1年以上python开发经验2、研发公司基于python，Qt Creator的服务平台并以此扩展的其它业务需求；3、独立解决线上问题，维护线上业务的稳定运行；4、能够带领2-3个人的小团队，提升","深圳 福田区",1-3年,大专,Pythonpython爬虫,深圳市华梦汽车网络,500-999人,汽车生产
215,Python工程师,6K-9K,"1、	使用python语言1年以上, 能够独立编写python项目及自动化脚本;2、	熟悉python的web后台开发(django框架), 完成接口的研发调试工作;3、	熟练使用Linux系统, 能够在linux系统下部署调试代码","深圳 南山区 南头",1-3年,大专,Python,七七元素科技,20-99人,信息安全
216,Python开发工程师,15K-30K,"任职资格：- 至少具有 2 年及以上使用 Python 进行 Web 开发的经验，简历中请附上 Github 账号；- 熟悉并在项目中使用至少一种 Python 的主流框架（Django/Flask/Tornado)；- 使用","深圳 福田区 梅林",经验不限,本科,PythonGolang,万科物业,1000-9999人,互联网
217,Python工程师,15K-25K,"职位职责： 1、负责公司产品后台服务的设计、开发、优化等研发工作，保证产品质量和开发进度；2、参与系统的配置管理、部署、上线和运维； 3、研究新技术，对产品进行持续优化；职位要求： 1、本科及以上学历，计算机相关专业，基础知","深圳 南山区 科技园",1-3年,本科,Node.jsPythonLinux,健康阿鹿,100-499人,O2O
218,Python工程师,15K-18K,1.负责内容爬取后，开发抽取规则，对精选内容进行批量抽取，并不断细化规则和维护整个工作的稳定性。2.负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作；3.负责设计和开发网络爬虫应用，进行互联网相关信息的抓取和分析；4.负责,"深圳 南山区 科技园",1-3年,本科,python爬虫数据抓取数据挖掘,壹鸿,20-99人,移动互联网
219,"Python 工程师",8K-16K,"岗位职责： 1.负责服务器后端系统的实现、部署和维护，保证系统的高效和稳定性； 2.配合测试人员完成软件及模块的测试； 3.公司其他系统研发； 职位要求： 1.1年以上相关经验，使用Python开发过大型系统经验者优先；","深圳 宝安区 西乡",经验不限,不限,PythonUnity3D,旗鱼互娱科技有限公司,0-20人,游戏
220,Python开发工程师,7K-10K,岗位职责：1、负责公司互联网产品及大数据产品的开发，包括项目框架搭建、前后端功能实现等。2、负责公司相关平台的开发与维护；3、负责原件开发爬取数据、进行统计；4、参与软件项目的详细设计、编码和内部测试；5、参与需求调研、,"深圳 南山区 深圳湾",1-3年,本科,PythonLinuxShell,鑫科保理,20-99人,租赁/拍卖/典当/担保
221,Python爬虫工程师,10K-18K,计算机相关专业毕业，1年以上爬虫经验熟悉Python语言，Scrapy爬虫框架掌握正则表达式、XPath用于从各种网络结构化和非结构化数据中抽取指定信息熟悉Mysql，MongoDB等数据库熟悉常用网络协议，熟悉http代理,"深圳 南山区 前海",1-3年,本科,数据抓取python爬虫爬虫工程师,蒙太利奇,20-99人,游戏
222,Python工程师,10K-11K,"工作和责任1 .协助开发中、后台办公系统，以便前台交易的顺畅及协调工作协助开发中、后台办公系统，允许前厅进行交易和调解2.自动化风险提示报告及交易流程自动化风险报告和贸易喂养过程3 .在新设备进行手动预订的特别项目支持项目特别行","深圳 福田区",3-5年,本科,PythonLinux数据库,雅柏宝,20-99人,互联网金融
223,课程设计（Python方向）,8K-16K,职位描述：1、参与Python课程教案撰写，并为课程质量整体负责2、与一线教师、专家进行良好的沟通，迭代完善课程产品。具体能力要求学历：本科及以上（可接受应届生和实习生）代码：对代码语言较为熟悉，熟悉pyth,"深圳 南山区 后海",经验不限,本科,课程设计编程python,编程猫,100-499人,移动互联网
224,Python,10K-15K,python实际开发经验,深圳,1-3年,本科,Python,软通动力信息技术集团,10000人以上,计算机软件
225,Python,10K-20K,"我们是深圳这边的一个非创业型公司，现在需要招聘服务器程序，希望能有机会合作~工作职责：1、根据策划或产品的要求进行游戏逻辑的开发2、游戏研发相关工具的开发任职需求：1、计算机相关专业，大专以上学历,1年以上手游后台研发经","深圳 南山区 大冲",1-3年,大专,PythonC/C++游戏服务端,修远求索,20-99人,移动互联网
226,Python开发工程师,5K-8K,"任职要求：1. 大专或以上学历，计算机相关专业；2. 一年以上Python开发，Python基础尤其要扎实，熟悉基本的Python框架: Flask,Django3. 熟悉Linix/Unix 操作系统，熟悉 TCP","深圳 罗湖区 东晓",1-3年,大专,Python开发,友联金达,20-99人,计算机软件
