id,job_title,job_salary,job_requirement,job_addr,job_exp,job_edu,job_tags,company_name,company_employee_num,company_type
136,Python工程师,15K-25K,"工作地点：深圳工作职责：1.	调整和优化系统、运维架构设计，达到高可用性的目标；2.	运维工具开发，实现自动化运维；3.	负责保障系统安全运行，及时发现和解决系统运行中的安全问题；4.	维护多媒体事业部CDN相关产品，负责日常发布","深圳 南山区 科技园",经验不限,本科,Linux运维开发python,ucloud,500-999人,互联网
137,资深Python开发工程师,15K-30K,【职位职责】1、负责人脸识别，多目标跟踪等人工智能系统相关模块的后台开发2、参与后台服务架构和数据库结构设计和优化3、参与各类系统间数据交互接口设计和开发【职位要求】1、python服务端开发经验，熟悉linux环境下的,"深圳 龙华区 滢水山庄",3-5年,本科,Python人脸识别,零壹互联,100-499人,移动互联网
138,Python开发工程师,15K-25K,"岗位职责：负责App产品的后台架构、接口设计和实现开发任职要求：1、精通Python编程，熟悉Linux基本操作及脚本编程2、熟悉Django/Flask 等框架优先， 熟悉MySQL3、有大用户量并发访问的后台处理","深圳 宝安区 西乡",3-5年,本科,LinuxPython后端开发,小步网络,20-99人,移动互联网
139,Python软件工程师,4K-8K,海外市场安防软件的开发与维护，可提供海外工作的机会。,"深圳 龙岗区",1-3年,本科,Web前端PythonJavascript,中控科技,1000-9999人,计算机软件
140,web/python全栈工程师,15K-30K,工作职责：1.加入一个专注、严苛、快速发展的团队，开发内部使用的数据分析平台及工具；2.理解产品设计、推广、开发过程中产生的各种数据模型，设计并实现相应的存储、分析及报表模块；3.在系统设计中遵循KISS原则，交付易于维护的代码,"深圳 南山区 科技园",3-5年,本科,PythonWeb前端全栈,乐易,100-499人,游戏
141,Python后台研发工程师,15K-25K,"职责：1、参与分布式后台服务研发2、参与相关产品研发3、配合其他部门开展相关技术支持工作要求：1）、3年以上研发经验，熟悉Python，熟悉java，C++基础更好 2）、有分布式 或 系统等底层服务研发经验3）、性格开","深圳 南山区 科技园",3-5年,本科,LinuxPython后端开发,木浪云,20-99人,信息安全
142,Python工程师,7K-14K,负责公司核心数据系统研发，目前后台有go语言python语言，加入年轻有朝气的技术团队。有腾讯技术导师指导，淋漓尽致的投入各项研发项目开发。,深圳,1-3年,本科,Python,非零无限,20-99人,移动互联网
143,Python,10K-17K,"工作描述：负责华大iLearningX平台服务端开发及测试运维岗位职责：1.  本科以上学历，计算机或相关专业者优先2. 掌握基本数据结构及算法，熟悉计算机网络基础知识,熟悉分布式系统机构，有大型互联网系统设计或开发经验3.  2","深圳 龙岗区 坂田",1-3年,本科,数据库LinuxPython,锐卡安讯,10000人以上,移动互联网
144,python高级开发工程师,20K-40K,工作职责：1.加入一个专注、严苛、快速发展的团队，通过数据驱动的方式来制定并执行市场推广策略；2.针对Google，Facebook等公司的API接口开发客户端程序；3.理解推广活动的各种配置选项及产生的数据，编写自动化的工具来,"深圳 南山区",3-5年,本科,Python,多有米,100-499人,互联网
145,python讲师,15K-30K,"一：岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程的讲授；3、完成领导交办的其它工作。任职要求：1. 至少2年以上Python编程经验；2. 熟练运用Python语","深圳 南山区 西丽",3-5年,本科,Pythonpython爬虫机器学习,千锋互联,500-999人,在线教育
146,"Python 后端开发工程师",10K-15K,"职位描述:​负责后端的开发及运维工作 任职需求:1) 1~3年服务器后端开发经验，2年以上python使用经验;2) 熟悉Tornado框架;3) 1年以上服务器运维经验; 有海外服务器运维经验者优先","深圳 南山区 蛇口",1-3年,本科,Python,游滨果,0-20人,互联网
147,Python工程师,10K-15K,岗位职责：1、参与分布式爬虫和数据采集系统的架构设计和研发；2、参与分布式爬虫模块服务架构和数据存储架构的设计和研发；3、负责日常网络数据抓取需求的实现及采集数据的质量监控；4、负责公司核心业务及产品的安全测试、安全审核、安,"深圳 南山区 蛇口",1-3年,大专,FlaskCeleryscrapy,达飞金控,1000-9999人,互联网金融
148,Python,15K-30K,"爬虫工程师岗位职责：1. 负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析。2. 负责网页信息抽取技术的研究和开发。3. 负责爬取数据的加工预处理，以及数据传输落地相关工作。4. 负责移动端应用相关数据的爬取。","深圳 南山区 大冲",3-5年,本科,python爬虫数据库Python,See,100-499人,互联网
149,Python工程师,9K-16K,"职位描述：你的工作内容：1.负责公司后台项目的设计和开发工作2.负责运维自动化平台、任务调度后台等内部工具开发3.不断提高团队的代码质量和工作效率，营造技术氛围 我们希望你是这样的：1","深圳 南山区 科技园",3-5年,本科,Python,宸睿科技,0-20人,在线教育
150,Python开发工程师,4K-8K,"岗位职责:1、Web接口开发, Python；2、网站的开发与维护；3、日常数据统计需求支持任职要求:1、具有强烈的进取心，对互联网拥有浓厚的兴趣，能够积极主动跟进业界的步伐；2、熟悉基于Linux开发，至少熟练","深圳 南山区 科技园",经验不限,本科,PHPPythonLinux,百答科技,20-99人,互联网
151,Python/Php开发工程师,4K-8K,岗位职责：1、根据项目具体要求，承担开发任务，按计划完成任务目标；2、根据开发规范与流程独立完成模块的设计、编码、测试及相关文档；3、对完成的代码进行检查和优化，提高产品易用性和性能；4、具有良好的沟通能力和团队合作精神、优,"深圳 南山区 前海",1-3年,大专,PHPPython,致学信息,20-99人,移动互联网
152,Python后台开发工程师,8K-15K,"工作职责：1.  根据设计完成代码编写、调试、测试和维护；2.  使用Python语言对后台业务逻辑进行开发以及维护；3.  能根据实际需求，使用前沿第三方框架实现各种功能。 职位要求：1.  精通Python语言；2.  熟","深圳 南山区 科技园",1-3年,本科,Python数据采集python爬虫,翼果科技,20-99人,数据服务
153,Python,10K-20K,"1. 负责公司重要新产品的数据采集 2. 负责公司重要新产品的接口开发 3. 熟悉爬虫，python，有过独立项目开发 4.与团队技术交流，共同进步。 任职要求 1、大学专科以上学历，计算机等相关专业； 2、两年以上pytho","深圳 南山区",经验不限,大专,数据抓取数据挖掘,才是科技,0-20人,互联网
154,Python,15K-30K,岗位：高级后端开发工程师（数据库及Python）职位要求该职位协助定制基于Python的Web应用程序的规划、设计、开发、发布、部署及维护，主要涉及到税务相关的数据分析及后端程序开发。性质和范围在技术方面，该职位会向后端,"深圳 福田区 车公庙",3-5年,本科,数据库Python数据挖掘,云图智联,0-20人,计算机软件
155,高级Python开发工程师（深圳）,10K-15K,工作职责：1、负责开发公司的各个产品的核心通用运维组件，包括健康监控、运维数据采集、性能报警、产品上线系统和其余自动化运维组件；2、与产品研发人员充分沟通，开发运维平台，保证产品的运维质量，保证产品正常运行；3、自动化运维平台研,"深圳 福田区",1-3年,本科,Python,国双科技,1000-9999人,互联网
156,python开发工程师,15K-30K,1、本科或以上学历2、需具备3年以上Python开发经验，有大型分布式系统开发经验者优先；3、熟悉Python语言，熟练使用常用模块，使用过Django/Tornado等web框架；4、有过大数据相关经验，ELT处理经验优先,"深圳 南山区 科技园",3-5年,本科,Python,潜一,0-20人,互联网
157,软件开发工程师（C#/python）,9K-10K,"1.   参与系统的详细设计工作，按照要求完成程序设计、数据库设计、用户手册等相关技术文档；2.   负责系统的编码实现，根据设计文档完成相应模块软件的编程任务；3.   负责平台的开发及新功能升级，并进行测试、修改、优化工作；","深圳 宝安区",1-3年,本科,PythonC#,深圳倍通,100-499人,物流/仓储
158,Python,15K-30K,华为2012实验室招聘技术人员和技术专家，技术面向云、AI、大数据等前沿领域，无论你是初级开发，高级开发还是架构师这里均有你的位置。待遇灵活可谈。有意愿的请联系我（邮箱：*****），需要12月底前能入职！1、本,深圳,5-10年,本科,JavaAndroidPython,华为技术有限公司,10000人以上,计算机软件
159,高端Python开发工程师,15K-20K,"职位描述：1   熟练使用Python2   至少使用tornado/diango 一种web框架3   熟悉mysql和mongodb.redis使用和设计4   熟练掌握各类常用数据结构和相关算法，熟悉常用的软件设计模式5","深圳 南山区 前海",1-3年,本科,PythonWeb前端数据库,智子生活,0-20人,移动互联网
160,"Python 后台工程师",15K-30K,【岗位职责】1、负责Web后台、手机APP后台系统的开发、优化与维护；2、熟悉敏捷开发，编写高质量的，整洁简单，可维护性的代码；构建可重复使用的代码以及公共库；3、根据工作需要，设计并完成各种辅助工具的开发。【任职要,"深圳 南山区 南头",3-5年,本科,MYSQLPython服务器端,viabtc,20-99人,互联网
161,python高级开发工程师,20K-35K,"猎头职位 岗位职责：1、针对Google，Facebook等公司的API接口开发客户端程序；2、理解推广活动的各种配置选项及产生的数据，编写自动化的工具来操作、获取并处理这些数据；3、建立数据模型来解释各渠道的投放效果，","深圳 南山区 科技园",5-10年,本科,系统架构,拓展,20-99人,咨询
162,python后端,13K-15K,职位描述：1、负责算法平台的后端开发和维护；2、负责产品后端架构的改进和优化，确保后端服务稳定、可靠、高效；3、参与后端前沿技术的探索。任职资格：1、两年以上python开发经验，计算机基础知识扎实；2、熟悉数据,"深圳 盐田区 沙头角",3-5年,本科,Python系统架构,清影医疗,20-99人,数据服务
163,Python后台开发,10K-20K,我们为您提供：1、每年春节16天带薪假期，回家无忧，带薪年假以工龄计算；2、餐费补贴660元/月，五天工作制(弹性上下班错开高峰期)，入职即购买五险一金；3、每年为员工父母提供爱孝金共5000元；节日礼品少不了，4、员工每月团建(聚,"深圳 南山区 科技园",3-5年,本科,后端开发JavascriptPython,新华云帆,100-499人,移动互联网
164,Python开发工程师,10K-16K,岗位职责1、独立完成部分产品特性的预研和设计；2、负责实现产品特性的开发；3、执行拆分的产品开发任务，发现并解决问题；4、深入学习存储和系统运维知识，强化自身业务水平。任职要求1、计算机相关专业，1年以上开发工作,"深圳 南山区 西丽",1-3年,本科,Pythonpython爬虫Java,杉岩数据,20-99人,计算机软件
165,Python,15K-25K,"我们做什么：工业品B2B电商平台 + 垂直搜索引擎 + 工业品百科全书什么是工业品：制造商生产中所用到的一切配件和设备，小到你手机中的每个配件，大到测量仪器，工业机器人。潜在市场规模：1. 20万亿的工业品市场2. 相关蓝海","深圳 福田区 竹子林",3-5年,本科,FlaskPython,零搜,20-99人,互联网
166,Python运维工程师,12K-18K,"岗位职责：1、负责服务器的维护；2、负责应用部署工作；3、负责后续自动化运维脚本的编写，监控系统的实现；4、负责服务器故障监控及警报处理工作；5、配合研发进行系统性能调优。任职要求：1、 熟悉 Linux 操作系","深圳 南山区 科技园",1-3年,大专,LinuxPythonShell,优融网络科技,20-99人,互联网
167,资深Python工程师（数据分析方向）（深圳）,15K-30K,"职位描述：1.负责业务系统和数据库系统的设计和开发。2.对现有系统进行优化和升级3.及时解决线上问题并不断维护和优化程序。   职位要求：1.3年以上python开发经验，熟悉python高并","深圳 南山区 科技园",经验不限,本科,Pythonpython爬虫,平安科技,1000-9999人,计算机软件
168,Python开发工程师,15K-25K,"职责描述：1. 负责Python软件、服务器程序、网站后台的设计和优化2. 负责实现软件、应用程序代码，建立和完善开发文档3. 产品发布上线时，协助完成项目调试、部署等工作4. 持续改进产品，为公司其他部门提供技术方案评估","深圳 南山区 科技园",3-5年,本科,Python项目实施,千丁互联,500-999人,O2O
169,Python工程师（人工智能方向）,8K-16K,"研发机器学习算法以及相关系统用于解决实际问题特别说明：我们是一家AI公司，接受目前不懂AI，但对AI有极大的兴趣且知晓AI的基本原理，愿意尝试AI行业的Python工程师职位要求：1. （硬性要求）本科以上学历，CS","深圳 南山区 科技园",经验不限,本科,Python图像算法深度学习,ai4health,0-20人,医疗健康
170,Python开发工程师,10K-18K,"岗位要求：1. 本科以上学历，3年以上开发经验2. 熟悉Linux系统管理维护，熟悉HTTP协议、TCP/IP网络协议；3. 熟练使用shell脚本语言，以及Python开发语言4. 具备良好的合作精神和快速学习能力；5","深圳 南山区 大冲",3-5年,大专,LinuxPythonShell,北京中讯汉扬,100-499人,计算机软件
171,C++/Python/QT软件工程师,12K-24K,"岗位职责：1. 根据产品需求，使用QT库，构建界面框架，完成模块功能设计。2. 根据美工设计，完成产品界面的布局调整和优化。3. 实现软件功能模块的编码和单元测试。4. 参与完成产品的研发、测试、维护全过程。5. 完","深圳 南山区 深圳湾",1-3年,本科,C/C++,深圳思力科,20-99人,互联网
172,python开发工程师,8K-16K,任职资格：1、具备2年以上Python开发经验，计算机相关专业最佳2、熟悉Django、Flask、Tornado等框架3、熟悉PostgreSQL数据库应用开发，了解PostgreSQL的数据库配置管理、性能优化，熟悉Mong,"深圳 福田区 购物公园",3-5年,大专,PythonLinux数据库,瑞时会,20-99人,互联网
173,Python开发工程师,18K-25K,职位描述我们是已有成熟产品&成熟业务模式的互联网金融&新三板挂牌（股票代码：834540）企业，公司面向客户的UI及后台逻辑全部基于Python开发，我们需要更强大的Pythoner来进一步壮大我们的Python开发团队。来这里,"深圳 罗湖区 笋岗",3-5年,大专,数据挖掘后端开发python爬虫,众禄金融,100-499人,互联网金融
174,高级Python开发工程师,15K-30K,"岗位职责：1.公司产品后台技术架构设计、开发与维护；2. 优化现有后台技术架构,提高产品质量。岗位要求：1.深入理解/掌握1-2种主流的python类web框架/应用（django、flask、tornado、etc.) 2.熟练掌","深圳 宝安区",经验不限,本科,后端开发数据库Web前端,知安,20-99人,信息安全
175,python游戏后端开发工程师,10K-20K,"工作职责:负责后台服务系统设计、开发和维护工作； 参与项目需求分析、联调以及测试工作； 主动发现并提出项目中出现的各种问题，积极推进项目进度。 任职资格： 1、熟悉Unix/Linux后台服务开发，对多进程、多线程编程熟",深圳,1-3年,本科,后端开发游戏开发,蓝讯,20-99人,游戏
176,python/odoo工程师,6K-10K,"任职资格：1. 熟练掌握Python的使用，一年以上Python\ODOO\Django开发经验。2. 熟悉Javascript，Jquery，HTML5+CSS3, bootstrap等前端技术者优先。3. 至少会使用一种数据","深圳 南山区 海王大厦",1年以内,不限,ERPPython企业软件,创新联合,0-20人,移动互联网
177,"Python 工程师",12K-18K,"要求：  工作3年以上,熟悉Linux环境下服务端的开发工作熟练掌握Python、Go、Javascript等语言；熟悉关系型数据库与NoSQL数据库的使用和优化熟悉TCP、UDP、HTTP等网络通信协议","深圳 南山区 科技园",3-5年,不限,PythonGOJavascript,酷竞体育,20-99人,游戏
178,python开发工程师,12K-20K,岗位职责：1.负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；2.负责网页信息抽取技术的研究和开发；3.负责解决爬取过程中的各种反爬问题；任职要求：1.大专以上学历，3年以上互联网金融,"深圳 福田区 车公庙",3-5年,大专,C/C++python爬虫抓取,花无缺网络科技,100-499人,移动互联网
179,Python,4K-8K,招聘熟悉python、SQL以及SAS的在校大学生或专业人士兼职，要求上门进行私教辅导（学员共2名，同时上课），要求教会学员python、sql与SAS语言基础，教学时间：每周两到三次，可选择周一到周五的晚上8点后，以及周六、周日的白天和晚,"深圳 福田区 景田",经验不限,不限,SQLsasPython,惠名集团,500-999人,工程施工
180,后端工程师（python/java/C++）,10K-15K,工作内容：1、参与软件项目的编码实施、测试和文档编写；2、负责业务需求分析，将业务需求拆分成独立的业务功能，并负责相关的开发等工作；3、负责部分核心技术问题的攻关，架构设计，系统优化，协助解决项目开发过程中的技术难题；4、配,"深圳 龙岗区 坂田",1-3年,本科,PythonJavaC/C++,达观数据,20-99人,数据服务
181,Python开发工程师,8K-12K,"岗位职责：负责美啦社区的业务开发、运营后台开发、架构优化和性能优化。职位要求：1、本科及以上学历，计算机相关专业，1年以上分布式系统设计经验；2、 熟悉Unix/Linux；3、具备定位及解决系统性能问题的经验和能力；","深圳 南山区 深圳湾",1-3年,本科,PythonC/C++Linux,美啦,20-99人,移动互联网
182,Python工程师（全栈）,8K-15K,职位描述：1、参与需求分析，产品设计，功能开发；2、快速开发产品原型；3、设计并编写高质量网络应用程序代码；4、参与公司内外部其他Web子系统的开发和维护；5、基于Web的API接口开发；任职要求：1、大专及以上学历，计算机,"深圳 龙岗区 滢水山庄",1-3年,大专,PythonHTML5全栈,阿米酷酷,0-20人,移动互联网
183,Python,15K-30K,"职位描述：1、参与实验室自然语言处理等项目开发, 负责收集整理数据, 数据清洗, 数据处理, 算法实现等开发工作；2、负责与合作伙伴以及其它数据提供商之间的交流及对第三方所提供的数据、服务评估和分析；3、参与公司内部创新业务开发；","深圳 南山区 科技园",1-3年,本科,Python数据挖掘自然语言处理,金蝶云之家,100-499人,移动互联网
184,Python运维开发工程师,5K-10K,岗位职责：1.负责金融产品系统的开发，维护和日常更新；2.维护软件产品正常运行，解决突发事件。任职资格：1.计算机及相关专业本科以上学历；2.熟练使用linux下各种常用命令，能够独立编写shell脚本；3.熟练使用pytho,"深圳 南山区",1-3年,本科,PythonC/C++,睿智融科,100-499人,计算机软件
185,Python,10K-15K,1：有大型互联网python后台开发经验者优先；2：踏实，能承受压力，有责任心，学习能力、沟通能力强。,深圳,3-5年,大专,Python后端开发系统架构,烨华,0-20人,互联网
186,Python,8K-15K,"1.一年以上python web项目开发经验2.熟悉javascript3.熟悉flask、SQLAlchemy、numpy、pandas、diango有使用python进行数据分析经验或者熟悉开源数据分析产品4.熟悉linux常用",深圳,1-3年,本科,JavascriptPython,深圳雁联,500-999人,互联网
187,python开发工程师,10K-15K,"岗位职责：  1、负责实现和完善公司数据采集的网络爬虫系统；  2、研究各种网络公开信息的爬取技术；  任职要求： 1、精通python开发语言，具有2年以上编程经验； 2、能运用python语言进行网页抓取、关键信","深圳 福田区 梅林",1-3年,本科,Pythonpython爬虫,深圳信美分期,100-499人,互联网金融
188,Python,9K-15K,"主要职责：根据口腔互联网具体业务需求，通过微信公众号，企业号，微信开放平台，开发移动端产品。技能要求1. 熟悉python ，两年以上开发经验2. 数据tornado框架，能够搭建基于tornado的webservice3. 熟","深圳 南山区 科技园",1-3年,本科,数据库后端开发移动开发,医匠科技,0-20人,互联网
189,Python后端工程师,10K-20K,"【工作职责】1. 网站系统的维护、改进，以及新产品的开发；2. 大型互联网web项目的设计、开发、优化。【我们希望你是这样的】1、两以上工作经验(优秀可放宽至一年)，有扎实的计算机基础, 包括但不限于数据结构，操","深圳 南山区",1-3年,本科,PythonMYSQL,小闪科技,100-499人,互联网
190,Python开发工程师,10K-15K,岗位职责要求:1，参与需求评估，产品开发，制定开发计划；2，按研发计划完成，技术分析文档的产出。能独立编写完整的系统开发文档，接口文档，单元测试；3，独立承担开发任务，主导需求的开发，修改，调试，外部配合，发布上线等工作；4,"深圳 宝安区",1-3年,本科,Python,深圳市对酒当歌,100-499人,互联网
191,Python开发工程师,8K-15K,"岗位职责 负责日志采集中间件开发负责数据传输中间件维护和开发负责国际行情报价通讯中间件开发岗位要求 具备1年以上Python开发经验，参与过大型高并发系统开发和实施工作熟悉Linux系统常用操作，能独立部署Pyt","深圳 南山区 南头",1年以内,本科,Python通信Shell,中金都会,20-99人,互联网金融
