"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
"python工程师（1-3年）";"5K-10K";"工作内容：1、按照项目经理的要求完成系统编码实施工作；2、负责开发完成的代码自测和规范性检查工作；3、负责项目组新成员的技术培训工作；4、根据项目需要完成技术预研和其他交办工作；职位要求：1、对python感兴趣，熟";"深圳 南山区";"1-3年";"本科";"Python";"览众科技";"100-499人";"计算机软件"
"Python";"15K-30K";"工作内容涵盖网页服务编写，以及机器人协议的维护。在机器人协议的基础上编写业务逻辑，并编写对应的控制后台。算法，数学基础扎实者优先。";"深圳 南山区 科技园";"1-3年";"本科";"后端开发Python系统架构";"群秘";"0-20人";"社交网络"
"python开发工程师";"18K-36K";"岗位要求：1.3年以上python（或者Lus、Powershell等脚本语言经验，并且愿意学习python）开发经验；2、有公有云、私有云相关工作背景者优先；3、有IT工具开发相关工作经验者优先；岗位职责：从事华为";"深圳 龙岗区";"3-5年";"本科";"LinuxPython";"华为";"10000人以上";"计算机软件"
"python开发工程师";"10K-13K";"岗位职责：1、负责知识库各个所需数据源整合，并将模块打包成良好的应用接口；2、负责问答系统基础的对话匹配，错误排查。 岗位要求：1、至少2年以上的Python开发经验；2、可以使用Linux，掌握基本的shell命令";"深圳 福田区 石厦";"1-3年";"本科";"Web前端后端开发Python";"海实信息";"500-999人";"互联网金融"
"Python开发工程师（高级）";"30K-50K";"职位描述：Web开发人员需要具备丰富的Web前端或后端知识， 时刻具备紧迫感，需要快速交付高质量的代码，不断创造新的Web产品和优化现有的产品和服务。 工作职责：（后端）使用Python编写Web后端代码";"深圳 南山区 科技园";"3-5年";"本科";"GolangPython";"Shopee";"1000-9999人";"电子商务"
"Python开发工程师";"15K-30K";"职位描述：Web开发人员需要具备丰富的Web前端或后端知识， 时刻具备紧迫感，需要快速交付高质量的代码，不断创造新的Web产品和优化现有的产品和服务。 工作职责：使用Python编写Web后端代码熟悉";"深圳 南山区 科技园";"1-3年";"本科";"GolangPython";"Shopee";"1000-9999人";"电子商务"
"Python";"15K-30K";"工作内容：参与糗事百科的后端研发；保障产品的快速迭代与服务质量；任职资格：三年以上高并发系统的设计与调优经验，对系统的架构与实现有清晰的认识；熟悉linux系统生产环境搭建与调优；至少熟悉 Python/Gola";"深圳 南山区";"3-5年";"本科";"Python";"糗事百科";"20-99人";"音乐/视频/阅读"
"Python开发";"15K-30K";"职位描述1. 熟悉在Unix/Linux平台上的Python编程; 了解常用的通讯协议处理模块，XML，JSON处理模块，熟悉格式化文件处理2. 有较强的编码能力及良好的编程风格;3. 对数据结构和算法有比较好的理解和实践;";"深圳 南山区 科技园";"3-5年";"本科";"Twisted高并发Flask";"藤讯科技";"100-499人";"移动互联网"
"Python 开发工程师";"8K-12K";"Python 开发工程师工作职责：1. 负责产品功能的后台开发工作。2. 在项目经理的领导下，配合完成程序设计和开发；3. 关注技术动向，研究新技术并攻关技术难题；4. 独立设计并开发程序中相关的模块";"深圳 龙岗区 布吉";"1-3年";"大专";"PythonLinuxC/C++";"贝利美维";"20-99人";"计算机软件"
"python开发工程师";"15K-30K";"1、本科或以上学历2、需具备3年以上Python开发经验，有大型分布式系统开发经验者优先；3、熟悉Python语言，熟练使用常用模块，使用过Django/Tornado等web框架；4、有过大数据相关经验，ELT处理";"深圳 南山区 科技园";"3-5年";"本科";"Python";"Bello";"20-99人";"数据服务"
